Tanggal,Komoditas,Provinsi,Harga
17/05/2022,Beras Premium,Nusa Tenggara Barat,10667.0
17/05/2022,Beras Premium,Sulawesi Selatan,10918.0
17/05/2022,Beras Premium,Bengkulu,11475.0
17/05/2022,Beras Premium,Banten,11163.0
17/05/2022,Beras Premium,D.I Yogyakarta,11240.0
17/05/2022,Beras Premium,Gorontalo,11258.0
17/05/2022,Beras Premium,Sulawesi Barat,11333.0
17/05/2022,Beras Premium,Aceh,11762.0
17/05/2022,Beras Premium,Jawa Timur,11383.0
17/05/2022,Beras Premium,Bali,11396.0
17/05/2022,Beras Premium,Sumatera Selatan,11406.0
17/05/2022,Beras Premium,Lampung,11413.0
17/05/2022,Beras Premium,Jawa Tengah,11456.0
17/05/2022,Beras Premium,Jambi,11909.0
17/05/2022,Beras Premium,Jawa Barat,11558.0
17/05/2022,Beras Premium,Sulawesi Tenggara,11653.0
17/05/2022,Beras Premium,Sulawesi Utara,11762.0
17/05/2022,Beras Premium,Kepulauan Bangka Belitung,12250.0
17/05/2022,Beras Premium,Sumatera Utara,12416.0
17/05/2022,Beras Premium,Nusa Tenggara Timur,12439.0
17/05/2022,Beras Premium,Sulawesi Tengah,12036.0
17/05/2022,Beras Premium,DKI Jakarta,12333.0
17/05/2022,Beras Premium,Kalimantan Timur,13231.0
17/05/2022,Beras Premium,Sumatera Barat,13320.0
17/05/2022,Beras Premium,Maluku Utara,13900.0
17/05/2022,Beras Premium,Kalimantan Barat,13986.0
17/05/2022,Beras Premium,Kalimantan Utara,14050.0
17/05/2022,Beras Premium,Maluku,14440.0
17/05/2022,Beras Premium,Kepulauan Riau,14357.0
17/05/2022,Beras Premium,Riau,14548.0
17/05/2022,Beras Premium,Papua Barat,15206.0
17/05/2022,Beras Premium,Papua,15217.0
17/05/2022,Beras Premium,Kalimantan Tengah,14893.0
17/05/2022,Beras Premium,Kalimantan Selatan,15079.0
17/05/2022,Beras Premium,Papua Pegunungan,
17/05/2022,Beras Premium,Papua Tengah,
17/05/2022,Beras Premium,Papua Barat Daya,
17/05/2022,Beras Premium,Papua Selatan,
18/05/2022,Beras Premium,Nusa Tenggara Barat,10600.0
18/05/2022,Beras Premium,Sulawesi Selatan,10895.0
18/05/2022,Beras Premium,Gorontalo,11092.0
18/05/2022,Beras Premium,Bengkulu,11475.0
18/05/2022,Beras Premium,Banten,11186.0
18/05/2022,Beras Premium,D.I Yogyakarta,11240.0
18/05/2022,Beras Premium,Aceh,11703.0
18/05/2022,Beras Premium,Sulawesi Barat,11333.0
18/05/2022,Beras Premium,Jawa Timur,11404.0
18/05/2022,Beras Premium,Lampung,11407.0
18/05/2022,Beras Premium,Bali,11407.0
18/05/2022,Beras Premium,Jawa Tengah,11431.0
18/05/2022,Beras Premium,Sumatera Selatan,11441.0
18/05/2022,Beras Premium,Jambi,11909.0
18/05/2022,Beras Premium,Jawa Barat,11559.0
18/05/2022,Beras Premium,Sulawesi Tenggara,11740.0
18/05/2022,Beras Premium,Sulawesi Utara,11762.0
18/05/2022,Beras Premium,Kepulauan Bangka Belitung,12357.0
18/05/2022,Beras Premium,Nusa Tenggara Timur,12381.0
18/05/2022,Beras Premium,Sulawesi Tengah,12036.0
18/05/2022,Beras Premium,Sumatera Utara,12448.0
18/05/2022,Beras Premium,DKI Jakarta,12333.0
18/05/2022,Beras Premium,Sumatera Barat,13317.0
18/05/2022,Beras Premium,Kalimantan Timur,13344.0
18/05/2022,Beras Premium,Maluku Utara,13875.0
18/05/2022,Beras Premium,Kalimantan Barat,13986.0
18/05/2022,Beras Premium,Kalimantan Utara,14050.0
18/05/2022,Beras Premium,Maluku,14640.0
18/05/2022,Beras Premium,Kepulauan Riau,14357.0
18/05/2022,Beras Premium,Riau,14586.0
18/05/2022,Beras Premium,Papua Barat,15206.0
18/05/2022,Beras Premium,Papua,15217.0
18/05/2022,Beras Premium,Kalimantan Tengah,14893.0
18/05/2022,Beras Premium,Kalimantan Selatan,15040.0
18/05/2022,Beras Premium,Papua Pegunungan,
18/05/2022,Beras Premium,Papua Tengah,
18/05/2022,Beras Premium,Papua Barat Daya,
18/05/2022,Beras Premium,Papua Selatan,
19/05/2022,Beras Premium,Nusa Tenggara Barat,10600.0
19/05/2022,Beras Premium,Sulawesi Selatan,10895.0
19/05/2022,Beras Premium,Bengkulu,11475.0
19/05/2022,Beras Premium,D.I Yogyakarta,11200.0
19/05/2022,Beras Premium,Gorontalo,11250.0
19/05/2022,Beras Premium,Banten,11286.0
19/05/2022,Beras Premium,Sulawesi Barat,11333.0
19/05/2022,Beras Premium,Aceh,11762.0
19/05/2022,Beras Premium,Jawa Tengah,11384.0
19/05/2022,Beras Premium,Jawa Timur,11395.0
19/05/2022,Beras Premium,Lampung,11400.0
19/05/2022,Beras Premium,Bali,11407.0
19/05/2022,Beras Premium,Sumatera Selatan,11469.0
19/05/2022,Beras Premium,Jambi,11909.0
19/05/2022,Beras Premium,Jawa Barat,11559.0
19/05/2022,Beras Premium,Sulawesi Tenggara,11575.0
19/05/2022,Beras Premium,Sulawesi Utara,11762.0
19/05/2022,Beras Premium,Nusa Tenggara Timur,12350.0
19/05/2022,Beras Premium,Sulawesi Tengah,11950.0
19/05/2022,Beras Premium,Kepulauan Bangka Belitung,12357.0
19/05/2022,Beras Premium,Sumatera Utara,12474.0
19/05/2022,Beras Premium,DKI Jakarta,12333.0
19/05/2022,Beras Premium,Kalimantan Timur,13440.0
19/05/2022,Beras Premium,Sumatera Barat,13472.0
19/05/2022,Beras Premium,Maluku Utara,13900.0
19/05/2022,Beras Premium,Kalimantan Barat,13986.0
19/05/2022,Beras Premium,Kalimantan Utara,14050.0
19/05/2022,Beras Premium,Maluku,14582.0
19/05/2022,Beras Premium,Kepulauan Riau,14357.0
19/05/2022,Beras Premium,Riau,14685.0
19/05/2022,Beras Premium,Papua Barat,15206.0
19/05/2022,Beras Premium,Papua,15217.0
19/05/2022,Beras Premium,Kalimantan Tengah,14893.0
19/05/2022,Beras Premium,Kalimantan Selatan,14960.0
19/05/2022,Beras Premium,Papua Pegunungan,
19/05/2022,Beras Premium,Papua Tengah,
19/05/2022,Beras Premium,Papua Barat Daya,
19/05/2022,Beras Premium,Papua Selatan,
20/05/2022,Beras Premium,Nusa Tenggara Barat,10556.0
20/05/2022,Beras Premium,Sulawesi Selatan,10873.0
20/05/2022,Beras Premium,Bengkulu,11475.0
20/05/2022,Beras Premium,D.I Yogyakarta,11200.0
20/05/2022,Beras Premium,Banten,11225.0
20/05/2022,Beras Premium,Gorontalo,11258.0
20/05/2022,Beras Premium,Lampung,11308.0
20/05/2022,Beras Premium,Sulawesi Barat,11333.0
20/05/2022,Beras Premium,Bali,11407.0
20/05/2022,Beras Premium,Jawa Timur,11414.0
20/05/2022,Beras Premium,Aceh,11811.0
20/05/2022,Beras Premium,Jawa Tengah,11431.0
20/05/2022,Beras Premium,Sumatera Selatan,11441.0
20/05/2022,Beras Premium,Jambi,11909.0
20/05/2022,Beras Premium,Jawa Barat,11561.0
20/05/2022,Beras Premium,Sulawesi Tenggara,11573.0
20/05/2022,Beras Premium,Sulawesi Utara,11754.0
20/05/2022,Beras Premium,Kepulauan Bangka Belitung,12357.0
20/05/2022,Beras Premium,Nusa Tenggara Timur,12376.0
20/05/2022,Beras Premium,Sulawesi Tengah,12036.0
20/05/2022,Beras Premium,Sumatera Utara,12471.0
20/05/2022,Beras Premium,DKI Jakarta,12333.0
20/05/2022,Beras Premium,Sumatera Barat,13332.0
20/05/2022,Beras Premium,Kalimantan Timur,13422.0
20/05/2022,Beras Premium,Maluku Utara,13889.0
20/05/2022,Beras Premium,Kalimantan Barat,13950.0
20/05/2022,Beras Premium,Kalimantan Utara,14050.0
20/05/2022,Beras Premium,Maluku,14582.0
20/05/2022,Beras Premium,Kepulauan Riau,14357.0
20/05/2022,Beras Premium,Riau,14537.0
20/05/2022,Beras Premium,Papua Barat,15206.0
20/05/2022,Beras Premium,Papua,15217.0
20/05/2022,Beras Premium,Kalimantan Tengah,14893.0
20/05/2022,Beras Premium,Kalimantan Selatan,15040.0
20/05/2022,Beras Premium,Papua Pegunungan,
20/05/2022,Beras Premium,Papua Tengah,
20/05/2022,Beras Premium,Papua Barat Daya,
20/05/2022,Beras Premium,Papua Selatan,
21/05/2022,Beras Premium,Nusa Tenggara Barat,10500.0
21/05/2022,Beras Premium,Sulawesi Selatan,10873.0
21/05/2022,Beras Premium,Bengkulu,11475.0
21/05/2022,Beras Premium,D.I Yogyakarta,11200.0
21/05/2022,Beras Premium,Banten,11225.0
21/05/2022,Beras Premium,Gorontalo,11275.0
21/05/2022,Beras Premium,Sulawesi Barat,11283.0
21/05/2022,Beras Premium,Jawa Timur,11344.0
21/05/2022,Beras Premium,Jawa Tengah,11368.0
21/05/2022,Beras Premium,Aceh,11752.0
21/05/2022,Beras Premium,Sumatera Selatan,11406.0
21/05/2022,Beras Premium,Bali,11407.0
21/05/2022,Beras Premium,Lampung,11413.0
21/05/2022,Beras Premium,Jambi,11909.0
